Binomial.1.2,Upham_TipLabel,Alvarez.Carretero_Tiplabel,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Pupil,Diel,Flexible,avg_mass_g,Slit,Genus_Diet_4,Genus_Diet_3,Orbit_Verticality,OrbitVerticality_ref.,Height,Height reference 
Pongo_abelii,Pongo_abelii,pongo_abelii,Primates,Hominidae,Pongo,abelii,Round,Cathemeral,,56950,,Herbivore,Herbivore,,,,
Hoolock_hoolock,Hoolock_hoolock,hoolock_hoolock,Primates,Hylobatidae,Hoolock,hoolock,Round,Diurnal,,6850,,Herbivore,Herbivore,,,,
Hylobates_moloch,Hylobates_moloch,hylobates_pileatus,Primates,Hylobatidae,Hylobates,moloch,Round,Diurnal,,5704.571429,,Herbivore,Herbivore,,,,
Nomascus_concolor,Nomascus_concolor,nomascus_concolor,Primates,Hylobatidae,Nomascus,concolor,Round,Diurnal,,7833.333333,,Herbivore,Herbivore,,,,
Symphalangus_syndactylus,Symphalangus_syndactylus,symphalangus_syndactylus,Primates,Hylobatidae,Symphalangus,syndactylus,Round,Diurnal,,10000,,Herbivore,Herbivore,,,,
Indri_indri,Indri_indri,indri_indri,Primates,Indriidae,Indri,indri,Round,Nocturnal,0,8000,,Herbivore,Herbivore,,,,
Propithecus_candidus,Propithecus_candidus,propithecus_perrieri,Primates,Indriidae,Propithecus,candidus,Round,Diurnal,,4405.555556,,Herbivore,Herbivore,,,,
Eulemur_cinereiceps,Eulemur_cinereiceps,eulemur_cinereiceps,Primates,Lemuridae,Eulemur,cinereiceps,Round,Cathemeral,,2024.166667,,Herbivore,Herbivore,,,,
Hapalemur_alaotrensis,Hapalemur_alaotrensis,hapalemur_aureus,Primates,Lemuridae,Hapalemur,alaotrensis,Round,Diurnal,,1068,,Herbivore,Herbivore,,,,
Lemur_catta,Lemur_catta,lemur_catta,Primates,Lemuridae,Lemur,catta,Round,Cathemeral,,2900,,Herbivore,Herbivore,,,,
Prolemur_simus,Prolemur_simus,prolemur_simus,Primates,Lemuridae,Prolemur,simus,Vertical,Cathemeral,,2350,0,Herbivore,Herbivore,,,,
Varecia_rubra,Varecia_rubra,varecia_rubra,Primates,Lemuridae,Varecia,rubra,Round,Diurnal,,3400,,Herbivore,Herbivore,,,,
Cacajao_calvus,Cacajao_calvus,cacajao_calvus,Primates,Pitheciidae,Cacajao,calvus,Round,Diurnal,,4448,,Herbivore,Herbivore,,,,
Callicebus_discolor,Callicebus_discolor,callicebus_personatus,Primates,Pitheciidae,Callicebus,discolor,Round,Diurnal,,1044.5,,Herbivore,Herbivore,,,,
Chiropotes_satanas,Chiropotes_satanas,chiropotes_albinasus,Primates,Pitheciidae,Chiropotes,satanas,Round,Diurnal,,2964.675,,Herbivore,Herbivore,,,,
Pithecia_milleri,Pithecia_milleri,pithecia_irrorata,Primates,Pitheciidae,Pithecia,milleri,Round,Diurnal,,2017.333333,,Herbivore,Herbivore,,,,
Tarsius_bancanus,Tarsius_bancanus,tarsius_bancanus,Primates,Tarsiidae,Tarsius,bancanus,Horizontal,Nocturnal,0,120.36,,Insectivore,Carnivore,,,,
Elephas_maximus,Elephas_maximus,elephas_maximus,Proboscidea,Elephantidae,Elephas,maximus,Round,Cathemeral,,3160000,,Herbivore,Herbivore,,,,
Loxodonta_africana,Loxodonta_africana,loxodonta_africana,Proboscidea,Elephantidae,Loxodonta,africana,Round,Cathemeral,,4400000,,Herbivore,Herbivore,,,,
Abrocoma_bennettii,Abrocoma_bennettii,abrocoma_bennettii,Rodentia,Abrocomidae,Abrocoma,bennettii,Vertical,Cathemeral,,253.5625,1,Herbivore,Herbivore,,,,
Zenkerella_insignis,Zenkerella_insignis,anomalurus,Rodentia,Anomaluridae,Zenkerella,insignis,Round,Cathemeral,,200,,Carnivore,Carnivore,,,,
Castor_canadensis,Castor_canadensis,castor_canadensis,Rodentia,Castoridae,Castor,canadensis,Round,Nocturnal,1,20410,,Herbivore,Herbivore,,,,
Cavia_magna,Cavia_magna,cavia_aperea,Rodentia,Caviidae,Cavia,magna,Round,Diurnal,,584.1666667,,Herbivore,Herbivore,,,,
Dolichotis_patagonum,Dolichotis_patagonum,dolichotis_patagonum,Rodentia,Caviidae,Dolichotis,patagonum,Vertical,Diurnal,,4800,1,Herbivore,Herbivore,,,,
Galea_musteloides,Galea_musteloides,galea_musteloides,Rodentia,Caviidae,Galea,musteloides,Vertical,Diurnal,,454.42,0,Herbivore,Herbivore,,,,
Kerodon_rupestris,Kerodon_rupestris,kerodon_rupestris,Rodentia,Caviidae,Kerodon,rupestris,Vertical,Crepuscular,,1052.6,0,Herbivore,Herbivore,,,,
Lagostomus_maximus,Lagostomus_maximus,lagostomus_maximus,Rodentia,Chinchillidae,Lagostomus,maximus,Vertical,Nocturnal,0,4647.5,1,Herbivore,Herbivore,,,,
Abrothrix_andinus,Abrothrix_andinus,abrothrix_andinus,Rodentia,Cricetidae,Abrothrix,andinus,Round,Cathemeral,,31.72857143,,Insectivore,Carnivore,,,,
Aegialomys_xanthaeolus,Aegialomys_xanthaeolus,aegialomys_xanthaeolus,Rodentia,Cricetidae,Aegialomys,xanthaeolus,Round,Cathemeral,,97.65,,Herbivore,Herbivore,,,,
Akodon_affinis,Akodon_affinis,akodon_affinis,Rodentia,Cricetidae,Akodon,affinis,Round,Mixed,,33.4075,,Insectivore,Carnivore,,,,
Arborimus_longicaudus,Arborimus_longicaudus,phenacomys_intermedius,Rodentia,Cricetidae,Arborimus,longicaudus,Round,Nocturnal,0,25.76666667,,Herbivore,Herbivore,,,,
Cerradomys_maracajuensis,Cerradomys_maracajuensis,cerradomys_subflavus,Rodentia,Cricetidae,Cerradomys,maracajuensis,Round,Nocturnal,0,89.3,,Herbivore,Herbivore,,,,
Chionomys_roberti,Chionomys_roberti,chionomys_roberti,Rodentia,Cricetidae,Chionomys,roberti,Round,Cathemeral,,80.33333333,,Herbivore,Herbivore,,,,
Euryoryzomys_emmonsae,Euryoryzomys_emmonsae,euryoryzomys_lamia,Rodentia,Cricetidae,Euryoryzomys,emmonsae,Round,Nocturnal,0,61.28333333,,Herbivore,Herbivore,,,,
Holochilus_brasiliensis,Holochilus_brasiliensis,holochilus_brasiliensis,Rodentia,Cricetidae,Holochilus,brasiliensis,Round,Nocturnal,0,176.6666667,,Herbivore,Herbivore,,,,
Lagurus_lagurus,Lagurus_lagurus,lagurus_lagurus,Rodentia,Cricetidae,Lagurus,lagurus,Round,Cathemeral,,20.3,,Herbivore,Herbivore,,,,
Megadontomys_cryophilus,Megadontomys_cryophilus,megadontomys_cryophilus,Rodentia,Cricetidae,Megadontomys,cryophilus,Round,Nocturnal,0,74.36666667,,Herbivore,Herbivore,,,,
Melanomys_caliginosus,Melanomys_caliginosus,melanomys_caliginosus,Rodentia,Cricetidae,Melanomys,caliginosus,Round,Nocturnal,0,49.33333333,,Herbivore,Herbivore,,,,
Mesocricetus_auratus,Mesocricetus_auratus,mesocricetus_auratus,Rodentia,Cricetidae,Mesocricetus,auratus,Round,Nocturnal,1,165.125,,Herbivore,Herbivore,,,,
Microtus_pennsylvanicus,Microtus_pennsylvanicus,microtus_pennsylvanicus,Rodentia,Cricetidae,Microtus,pennsylvanicus,Round,Cathemeral,,39.81846154,,Herbivore,Herbivore,,,,
Myodes_glareolus,Myodes_glareolus,myodes_glareolus,Rodentia,Cricetidae,Myodes,glareolus,Round,Mixed,,31.1,,Herbivore,Herbivore,,,,
Nephelomys_albigularis,Nephelomys_albigularis,nephelomys_albigularis,Rodentia,Cricetidae,Nephelomys,albigularis,Round,Nocturnal,0,113.7571429,,Herbivore,Herbivore,,,,
Nyctomys_sumichrasti,Nyctomys_sumichrasti,nyctomys_sumichrasti,Rodentia,Cricetidae,Nyctomys,sumichrasti,Round,Nocturnal,0,49.4,,Herbivore,Herbivore,,,,
Ondatra_zibethicus,Ondatra_zibethicus,ondatra_zibethicus,Rodentia,Cricetidae,Ondatra,zibethicus,Round,Cathemeral,,1065.7,,Herbivore,Herbivore,,,,
Scolomys_melanops,Scolomys_melanops,scolomys_juruaense,Rodentia,Cricetidae,Scolomys,melanops,Round,Nocturnal,0,26.5,,Herbivore,Herbivore,,,,
Scotinomys_xerampelinus,Scotinomys_xerampelinus,scotinomys_xerampelinus,Rodentia,Cricetidae,Scotinomys,xerampelinus,Round,Diurnal,,13.15,,Insectivore,Carnivore,,,,
Sigmodon_hispidus,Sigmodon_hispidus,sigmodon_hispidus,Rodentia,Cricetidae,Sigmodon,hispidus,Round,Cathemeral,,123.3692308,,Herbivore,Herbivore,,,,
Thaptomys_nigrita,Thaptomys_nigrita,thaptomys_nigrita,Rodentia,Cricetidae,Thaptomys,nigrita,Round,Diurnal,,19.9,,Insectivore,Carnivore,,,,
Thomasomys_vulcani,Thomasomys_vulcani,thomasomys_vulcani,Rodentia,Cricetidae,Thomasomys,vulcani,Round,Nocturnal,0,74.15428571,,Herbivore,Herbivore,,,,
Tylomys_bullaris,Tylomys_bullaris,tylomys_nudicaudus,Rodentia,Cricetidae,Tylomys,bullaris,Round,Nocturnal,0,221.3285714,,Herbivore,Herbivore,,,,
Wiedomys_pyrrhorhinos,Wiedomys_pyrrhorhinos,wiedomys_pyrrhorhinos,Rodentia,Cricetidae,Wiedomys,pyrrhorhinos,Round,Nocturnal,1,49.3,,Herbivore,Herbivore,,,,
Cuniculus_paca,Cuniculus_paca,cuniculus_paca,Rodentia,Cuniculidae,Cuniculus,paca,Vertical,Nocturnal,0,8499.95,0,Herbivore,Herbivore,,,,
Dasyprocta_azarae,Dasyprocta_azarae,dasyprocta_leporina,Rodentia,Dasyproctidae,Dasyprocta,azarae,Round,Diurnal,,2939.261538,,Herbivore,Herbivore,,,,
Myoprocta_acouchy,Myoprocta_acouchy,myoprocta_acouchy,Rodentia,Dasyproctidae,Myoprocta,acouchy,Round,Diurnal,,754,,Herbivore,Herbivore,,,,
Dinomys_branickii,Dinomys_branickii,dinomys_branickii,Rodentia,Dinomyidae,Dinomys,branickii,Vertical,Nocturnal,1,12500,0,Herbivore,Herbivore,,,,
Capromys_pilorides,Capromys_pilorides,capromys_pilorides,Rodentia,Echimyidae,Capromys,pilorides,Vertical,Nocturnal,1,2170,1,Mixed,Mixed,,,,
Diplomys_labilis,Diplomys_labilis,diplomys_labilis,Rodentia,Echimyidae,Diplomys,labilis,Vertical,Nocturnal,0,311,1,Herbivore,Herbivore,,,,
Geocapromys_brownii,Geocapromys_brownii,geocapromys_brownii,Rodentia,Echimyidae,Geocapromys,brownii,Vertical,Nocturnal,0,1150,1,Herbivore,Herbivore,,,,
Isothrix_bistriata,Isothrix_bistriata,isothrix_bistriata,Rodentia,Echimyidae,Isothrix,bistriata,Vertical,Nocturnal,0,306.2166667,1,Herbivore,Herbivore,,,,
Kannabateomys_amblyonyx,Kannabateomys_amblyonyx,kannabateomys_amblyonyx,Rodentia,Echimyidae,Kannabateomys,amblyonyx,Vertical,Nocturnal,1,600,1,Herbivore,Herbivore,,,,
Makalata_didelphoides,Makalata_didelphoides,makalata_didelphoides,Rodentia,Echimyidae,Makalata,didelphoides,Vertical,Nocturnal,0,315.6666667,1,Herbivore,Herbivore,,,,
Mesomys_hispidus,Mesomys_hispidus,mesomys_hispidus,Rodentia,Echimyidae,Mesomys,hispidus,Vertical,Nocturnal,0,142.175,1,Herbivore,Herbivore,,,,
Mysateles_prehensilis,Mysateles_prehensilis,mysateles_prehensilis,Rodentia,Echimyidae,Mysateles,prehensilis,Vertical,Nocturnal,0,1509,1,Herbivore,Herbivore,,,,
Pattonomys_semivillosus,Pattonomys_semivillosus,pattonomys_semivillosus,Rodentia,Echimyidae,Pattonomys,semivillosus,Vertical,Nocturnal,0,231.02,1,Herbivore,Herbivore,,,,
Plagiodontia_aedium,Plagiodontia_aedium,plagiodontia_aedium,Rodentia,Echimyidae,Plagiodontia,aedium,Vertical,Nocturnal,0,2630,1,Herbivore,Herbivore,,,,
Chaetomys_subspinosus,Chaetomys_subspinosus,chaetomys_subspinosus,Rodentia,Erethizontidae,Chaetomys,subspinosus,Vertical,Nocturnal,0,1300,0,Herbivore,Herbivore,,,,
Coendou_prehensilis,Coendou_prehensilis,coendou_bicolor,Rodentia,Erethizontidae,Coendou,prehensilis,Vertical,Nocturnal,0,1976.635714,0,Herbivore,Herbivore,,,,
Erethizon_dorsatum,Erethizon_dorsatum,erethizon_dorsatum,Rodentia,Erethizontidae,Erethizon,dorsatum,Vertical,Nocturnal,0,7085.3,0,Herbivore,Herbivore,,,,
Eliomys_quercinus,Eliomys_quercinus,eliomys_melanurus,Rodentia,Gliridae,Eliomys,quercinus,Round,Nocturnal,0,72.93333333,,Herbivore,Herbivore,,,,
Graphiurus_nagtglasii,Graphiurus_nagtglasii,graphiurus_murinus,Rodentia,Gliridae,Graphiurus,nagtglasii,Round,Nocturnal,0,29.19285714,,Mixed,Carnivore,,,,
Muscardinus_avellanarius,Muscardinus_avellanarius,muscardinus_avellanarius,Rodentia,Gliridae,Muscardinus,avellanarius,Round,Nocturnal,1,27.5,,Herbivore,Herbivore,,,,
Hystrix_javanica,Hystrix_javanica,hystrix_brachyura,Rodentia,Hystricidae,Hystrix,javanica,Round,Nocturnal,0,10816.4,,Herbivore,Herbivore,,,,
Bandicota_bengalensis,Bandicota_bengalensis,bandicota_bengalensis,Rodentia,Muridae,Bandicota,bengalensis,Round,Nocturnal,0,369.1666667,,Herbivore,Herbivore,,,,
Bullimus_bagobus,Bullimus_bagobus,bullimus_bagobus,Rodentia,Muridae,Bullimus,bagobus,Round,Nocturnal,0,415.1666667,,Herbivore,Herbivore,,,,
Bunomys_andrewsi,Bunomys_andrewsi,bunomys_andrewsi,Rodentia,Muridae,Bunomys,andrewsi,Round,Nocturnal,0,132.8333333,,Insectivore,Carnivore,,,,
Chiropodomys_gliroides,Chiropodomys_gliroides,chiropodomys_gliroides,Rodentia,Muridae,Chiropodomys,gliroides,Round,Nocturnal,0,28.5,,Herbivore,Herbivore,,,,
Crateromys_schadenbergi,Crateromys_schadenbergi,crateromys_heaneyi,Rodentia,Muridae,Crateromys,schadenbergi,Round,Nocturnal,0,700.95,,Herbivore,Herbivore,,,,
Cremnomys_cutchicus,Cremnomys_cutchicus,cremnomys_cutchicus,Rodentia,Muridae,Cremnomys,cutchicus,Round,Nocturnal,0,68.45,,Herbivore,Herbivore,,,,
Crossomys_moncktoni,Crossomys_moncktoni,crossomys_moncktoni,Rodentia,Muridae,Crossomys,moncktoni,Round,Diurnal,,165,,Insectivore,Carnivore,,,,
Dephomys_defua,Dephomys_defua,dephomys_defua,Rodentia,Muridae,Dephomys,defua,Round,Nocturnal,0,43.1,,Herbivore,Herbivore,,,,
Diomys_crumpi,Diomys_crumpi,millardia_kathleenae,Rodentia,Muridae,Diomys,crumpi,Round,Nocturnal,0,52.1,,Herbivore,Herbivore,,,,
Diplothrix_legata,Diplothrix_legata,diplothrix_legata,Rodentia,Muridae,Diplothrix,legata,Round,Nocturnal,0,505.9,,Herbivore,Herbivore,,,,
Haeromys_margarettae,Haeromys_margarettae,heteromys_desmarestianus,Rodentia,Muridae,Haeromys,margarettae,Round,Nocturnal,0,12.6,,Herbivore,Herbivore,,,,
Hydromys_chrysogaster,Hydromys_chrysogaster,hydromys_chrysogaster,Rodentia,Muridae,Hydromys,chrysogaster,Round,Nocturnal,0,326.15,,Carnivore,Carnivore,,,,
Hyomys_goliath,Hyomys_goliath,hyomys_goliath,Rodentia,Muridae,Hyomys,goliath,Round,Nocturnal,0,875,,Herbivore,Herbivore,,,,
Komodomys_rintjanus,Komodomys_rintjanus,rattus_praetor,Rodentia,Muridae,Komodomys,rintjanus,Round,Nocturnal,0,115,,Herbivore,Herbivore,,,,
Leggadina_forresti,Leggadina_forresti,leggadina_forresti,Rodentia,Muridae,Leggadina,forresti,Round,Nocturnal,0,18.75,,Herbivore,Herbivore,,,,
Lenothrix_canus,Lenothrix_canus,niviventer_eha,Rodentia,Muridae,Lenothrix,canus,Round,Nocturnal,0,135,,Herbivore,Herbivore,,,,
Leopoldamys_ciliatus,Leopoldamys_ciliatus,leopoldamys_edwardsi,Rodentia,Muridae,Leopoldamys,ciliatus,Round,Nocturnal,0,363.3,,Herbivore,Herbivore,,,,
Lorentzimys_nouhuysi,Lorentzimys_nouhuysi,lorentzimys_nouhuysi,Rodentia,Muridae,Lorentzimys,nouhuysi,Round,Cathemeral,,14.2,,Herbivore,Herbivore,,,,
Madromys_blanfordi,Madromys_blanfordi,millardia_meltada,Rodentia,Muridae,Madromys,blanfordi,Round,Nocturnal,0,141,,Herbivore,Herbivore,,,,
Mastacomys_fuscus,Mastacomys_fuscus,mastacomys_fuscus,Rodentia,Muridae,Mastacomys,fuscus,Round,Nocturnal,1,122,,Herbivore,Herbivore,,,,
Niviventer_cremoriventer,Niviventer_cremoriventer,niviventer_cremoriventer,Rodentia,Muridae,Niviventer,cremoriventer,Round,Nocturnal,0,86.31176471,,Herbivore,Herbivore,,,,
Notomys_alexis,Notomys_alexis,notomys,Rodentia,Muridae,Notomys,alexis,Round,Nocturnal,0,39.2,,Herbivore,Herbivore,,,,
Oenomys_hypoxanthus,Oenomys_hypoxanthus,oenomys_hypoxanthus,Rodentia,Muridae,Oenomys,hypoxanthus,Round,Cathemeral,,87.75,,Herbivore,Herbivore,,,,
Phloeomys_cumingi,Phloeomys_cumingi,phloeomys_cumingi,Rodentia,Muridae,Phloeomys,cumingi,Round,Nocturnal,0,2098.15,,Herbivore,Herbivore,,,,
Pogonomys_loriae,Pogonomys_loriae,pogonomys_loriae,Rodentia,Muridae,Pogonomys,loriae,Round,Nocturnal,0,74.3,,Herbivore,Herbivore,,,,
Psammomys_obesus,Psammomys_obesus,psammomys_obesus,Rodentia,Muridae,Psammomys,obesus,Round,Cathemeral,,256.35,,Herbivore,Herbivore,,,,
Pseudomys_albocinereus,Pseudomys_albocinereus,pseudomys,Rodentia,Muridae,Pseudomys,albocinereus,Round,Nocturnal,0,36.33809524,,Herbivore,Herbivore,,,,
Taeromys_punicans,Taeromys_punicans,taeromys_celebensis,Rodentia,Muridae,Taeromys,punicans,Round,Nocturnal,0,235.7714286,,Herbivore,Herbivore,,,,
Tatera_indica,Tatera_indica,tatera_indica,Rodentia,Muridae,Tatera,indica,Round,Nocturnal,1,166.3,,Herbivore,Herbivore,,,,
Taterillus_emini,Taterillus_emini,taterillus_arenarius,Rodentia,Muridae,Taterillus,emini,Round,Nocturnal,0,50.625,,Herbivore,Herbivore,,,,
Tokudaia_osimensis,Tokudaia_osimensis,tokudaia_osimensis,Rodentia,Muridae,Tokudaia,osimensis,Round,Nocturnal,0,199.1666667,,Herbivore,Herbivore,,,,
Zyzomys_argurus,Zyzomys_argurus,zyzomys_argurus,Rodentia,Muridae,Zyzomys,argurus,Round,Nocturnal,0,97.8,,Herbivore,Herbivore,,,,
Hypogeomys_antimena,Hypogeomys_antimena,hypogeomys_antimena,Rodentia,Nesomyidae,Hypogeomys,antimena,Round,Nocturnal,0,1250,,Herbivore,Herbivore,,,,
Octodon_degus,Octodon_degus,octodon_degus,Rodentia,Octodontidae,Octodon,degus,Vertical,Cathemeral,,220.75,1,Herbivore,Herbivore,,,,
Platacanthomys_lasiurus,Platacanthomys_lasiurus,typhlomys_chapensis,Rodentia,Platacanthomyidae,Platacanthomys,lasiurus,Round,Nocturnal,0,75,,Herbivore,Herbivore,,,,
Ammospermophilus_leucurus,Ammospermophilus_leucurus,ammospermophilus_harrisii,Rodentia,Sciuridae,Ammospermophilus,leucurus,Horizontal,Diurnal,,128.3,,Herbivore,Herbivore,,,,
Callosciurus_erythraeus,Callosciurus_erythraeus,callosciurus_erythraeus,Rodentia,Sciuridae,Callosciurus,erythraeus,Horizontal,Diurnal,,262.9666667,,Herbivore,Herbivore,,,,
Cynomys_ludovicianus,Cynomys_ludovicianus,cynomys_gunnisoni,Rodentia,Sciuridae,Cynomys,ludovicianus,Horizontal,Diurnal,,999.5,,Herbivore,Herbivore,,,,
Dremomys_rufigenis,Dremomys_rufigenis,dremomys_lokriah,Rodentia,Sciuridae,Dremomys,rufigenis,Horizontal,Diurnal,,211.9333333,,Herbivore,Herbivore,,,,
Exilisciurus_concinnus,Exilisciurus_concinnus,exilisciurus_concinnus,Rodentia,Sciuridae,Exilisciurus,concinnus,Horizontal,Diurnal,,23.3,,Herbivore,Herbivore,,,,
Funambulus_tristriatus,Funambulus_tristriatus,funambulus_layardi,Rodentia,Sciuridae,Funambulus,tristriatus,Horizontal,Diurnal,,117.08,,Herbivore,Herbivore,,,,
Marmota_caligata,Marmota_caligata,marmota_baibacina,Rodentia,Sciuridae,Marmota,caligata,Horizontal,Diurnal,,4964.05,,Herbivore,Herbivore,,,,
Otospermophilus_beecheyi,Otospermophilus_beecheyi,otospermophilus_beecheyi,Rodentia,Sciuridae,Otospermophilus,beecheyi,Horizontal,Diurnal,,635.05,,Herbivore,Herbivore,,,,
Paraxerus_palliatus,Paraxerus_palliatus,paraxerus_alexandri,Rodentia,Sciuridae,Paraxerus,palliatus,Horizontal,Diurnal,,269.3363636,,Herbivore,Herbivore,,,,
Prosciurillus_weberi,Prosciurillus_weberi,prosciurillus_murinus,Rodentia,Sciuridae,Prosciurillus,weberi,Horizontal,Diurnal,,127.12,,Herbivore,Herbivore,,,,
Protoxerus_stangeri,Protoxerus_stangeri,protoxerus_stangeri,Rodentia,Sciuridae,Protoxerus,stangeri,Horizontal,Diurnal,,485.75,,Herbivore,Herbivore,,,,
Ratufa_affinis,Ratufa_affinis,ratufa_affinis,Rodentia,Sciuridae,Ratufa,affinis,Horizontal,Diurnal,,1398.35,,Herbivore,Herbivore,,,,
Rheithrosciurus_macrotis,Rheithrosciurus_macrotis,rheithrosciurus_macrotis,Rodentia,Sciuridae,Rheithrosciurus,macrotis,Horizontal,Diurnal,,1225,,Herbivore,Herbivore,,,,
Sciurus_niger,Sciurus_niger,sciurus_niger,Rodentia,Sciuridae,Sciurus,niger,Horizontal,Diurnal,,599.35,,Herbivore,Herbivore,,,,
Spermophilus_major,Spermophilus_major,spermophilus_alashanicus,Rodentia,Sciuridae,Spermophilus,major,Horizontal,Diurnal,,351.2066667,,Herbivore,Herbivore,,,,
Tamias_striatus,Tamias_striatus,tamias_striatus,Rodentia,Sciuridae,Tamias,striatus,Round,Diurnal,,111.9,,Herbivore,Herbivore,,,,
Thryonomys_gregorianus,Thryonomys_gregorianus,thryonomys_swinderianus,Rodentia,Thryonomyidae,Thryonomys,gregorianus,Vertical,Nocturnal,1,2943.55,0,Herbivore,Herbivore,,,,
Anathana_ellioti,Anathana_ellioti,anathana_ellioti,Scandentia,Tupaiidae,Anathana,ellioti,Horizontal,Diurnal,,160,,Insectivore,Carnivore,,,,
Tupaia_belangeri,Tupaia_belangeri,tupaia_belangeri,Scandentia,Tupaiidae,Tupaia,belangeri,Horizontal,Diurnal,,170.7866667,,Insectivore,Carnivore,,,,
Orycteropus_afer,Orycteropus_afer,orycteropus_afer,Tubulidentata,Orycteropodidae,Orycteropus,afer,Round,Nocturnal,1,52350.4,,Insectivore,Carnivore,,,,